,0,1,2,3,4,5,6,7,8,9
0,0.0,-12.0,-3.0,-8.0,20.0,-2.0,-5.0,-7.0,-5.0,-6.0
1,13.0,-58.0,7.0,-16.0,26.0,-16.0,-7.0,-12.0,-11.0,-29.0
2,-5.0,-2.0,10.0,8.0,-2.0,5.0,54.0,-4.0,15.0,-10.0
3,34.0,135.0,13.0,7.0,11.0,46.0,77.0,54.0,25.0,69.0
4,36.0,81.0,16.0,-2.0,27.0,38.0,65.0,136.0,-30.0,56.0
5,-56.0,-21.0,24.0,27.0,32.0,31.0,66.0,88.0,-77.0,39.0
6,-47.0,41.0,30.0,8.0,66.0,48.0,37.0,19.0,-105.0,54.0
7,-22.0,74.0,53.0,7.0,7.0,33.0,2.0,8.0,-87.0,4.0
8,-7.0,65.0,63.0,63.0,11.0,61.0,4.0,75.0,2.0,22.0
9,2.0,83.0,16.0,86.0,88.0,99.0,97.0,60.0,52.0,58.0
10,-108.0,41.0,-51.0,79.0,63.0,43.0,70.0,77.0,-1.0,39.0
11,-90.0,79.0,-86.0,64.0,-1.0,29.0,3.0,189.0,-59.0,66.0
12,20.0,108.0,-55.0,118.0,27.0,80.0,17.0,172.0,-51.0,98.0
13,-21.0,38.0,-1.0,144.0,40.0,86.0,-29.0,113.0,2.0,87.0
14,-2.0,44.0,67.0,71.0,-8.0,40.0,-13.0,117.0,-42.0,84.0
15,171.0,66.0,75.0,98.0,-28.0,15.0,47.0,110.0,-55.0,83.0
16,29.0,-61.0,93.0,89.0,-89.0,-13.0,-5.0,5.0,-97.0,-5.0
17,-119.0,-41.0,6.0,149.0,26.0,78.0,-24.0,87.0,-44.0,27.0
18,-79.0,28.0,-127.0,124.0,103.0,142.0,-8.0,113.0,3.0,41.0
19,-59.0,-17.0,-126.0,13.0,11.0,-45.0,-47.0,-4.0,-76.0,-57.0
20,-42.0,-26.0,-105.0,93.0,-7.0,-68.0,-117.0,40.0,-89.0,-15.0
21,-72.0,-70.0,-145.0,108.0,114.0,100.0,-93.0,96.0,-48.0,11.0
22,-104.0,-89.0,-186.0,104.0,125.0,84.0,-52.0,3.0,-23.0,-43.0
23,-45.0,-64.0,-102.0,172.0,46.0,-25.0,-25.0,50.0,-31.0,-52.0
24,6.0,-77.0,-63.0,93.0,45.0,-74.0,-51.0,111.0,-61.0,-51.0
25,-45.0,-63.0,-43.0,53.0,-34.0,-35.0,-57.0,5.0,-78.0,-72.0
26,-17.0,-27.0,-38.0,121.0,-100.0,16.0,-8.0,2.0,-104.0,-66.0
27,67.0,-14.0,-32.0,51.0,7.0,110.0,-3.0,143.0,-86.0,69.0
28,53.0,-29.0,-57.0,-12.0,27.0,75.0,-17.0,31.0,-14.0,78.0
29,-25.0,-58.0,-52.0,-95.0,-67.0,-3.0,-23.0,-113.0,-93.0,-61.0
30,7.0,75.0,69.0,-31.0,8.0,63.0,70.0,53.0,-28.0,-23.0
31,-25.0,73.0,-4.0,51.0,40.0,-1.0,53.0,63.0,8.0,-41.0
32,-48.0,5.0,6.0,43.0,47.0,-44.0,28.0,42.0,14.0,-72.0
33,-40.0,65.0,143.0,84.0,-21.0,56.0,38.0,126.0,57.0,-35.0
34,-92.0,-29.0,35.0,3.0,-135.0,45.0,-13.0,5.0,-14.0,-80.0
35,-60.0,-61.0,-39.0,-20.0,-77.0,50.0,-5.0,29.0,-133.0,-40.0
36,8.0,23.0,-54.0,110.0,-41.0,110.0,2.0,141.0,-98.0,14.0
37,-37.0,86.0,-114.0,259.0,-21.0,49.0,-11.0,61.0,-29.0,-5.0
38,-1.0,103.0,-53.0,155.0,-1.0,55.0,23.0,48.0,-83.0,54.0
39,46.0,100.0,10.0,63.0,8.0,27.0,-52.0,43.0,-48.0,66.0
40,55.0,101.0,11.0,91.0,29.0,-25.0,-12.0,62.0,-5.0,55.0
41,103.0,47.0,15.0,27.0,32.0,31.0,11.0,96.0,63.0,49.0
42,140.0,9.0,15.0,89.0,69.0,79.0,-41.0,91.0,73.0,44.0
43,125.0,-7.0,11.0,138.0,17.0,89.0,-4.0,57.0,-31.0,108.0
44,44.0,-21.0,51.0,130.0,-42.0,51.0,25.0,58.0,13.0,103.0
45,-2.0,-132.0,40.0,63.0,-31.0,-4.0,93.0,31.0,0.0,8.0
46,17.0,-106.0,-2.0,56.0,-62.0,-17.0,95.0,16.0,-76.0,58.0
47,55.0,1.0,-7.0,146.0,-104.0,-63.0,59.0,-1.0,-39.0,86.0
48,52.0,-87.0,-31.0,68.0,-128.0,-73.0,-1.0,-95.0,-43.0,-1.0
49,62.0,-117.0,-15.0,-3.0,-36.0,11.0,2.0,-81.0,-3.0,20.0
50,-9.0,-68.0,-82.0,63.0,-9.0,-33.0,42.0,27.0,-27.0,60.0
51,-46.0,-74.0,-103.0,98.0,-33.0,-111.0,33.0,84.0,-53.0,47.0
52,-38.0,-133.0,-79.0,-47.0,-50.0,-22.0,-17.0,-41.0,-52.0,-32.0
53,-64.0,-173.0,-92.0,-46.0,-95.0,15.0,-24.0,-161.0,-73.0,-67.0
54,20.0,-92.0,3.0,56.0,-57.0,-54.0,54.0,-55.0,-34.0,-42.0
55,99.0,-16.0,32.0,35.0,31.0,10.0,96.0,64.0,12.0,0.0
56,3.0,-113.0,-140.0,-2.0,-38.0,-31.0,60.0,52.0,-21.0,-17.0
57,-102.0,-127.0,-215.0,37.0,-72.0,-8.0,113.0,-2.0,-45.0,-47.0
58,-99.0,-85.0,-112.0,51.0,-43.0,76.0,50.0,4.0,-16.0,25.0
59,-61.0,-75.0,-46.0,16.0,-127.0,46.0,-20.0,47.0,-28.0,-103.0
60,40.0,-35.0,37.0,121.0,-30.0,92.0,174.0,114.0,-16.0,-150.0
61,19.0,-48.0,6.0,67.0,-5.0,45.0,200.0,59.0,-60.0,-74.0
62,-105.0,-88.0,-122.0,-42.0,-86.0,-48.0,-19.0,-76.0,-116.0,-136.0
63,-82.0,-69.0,-104.0,-11.0,-128.0,-38.0,-79.0,-7.0,-47.0,-143.0
64,53.0,18.0,23.0,114.0,-27.0,6.0,128.0,159.0,-11.0,-12.0
65,123.0,1.0,88.0,73.0,45.0,28.0,100.0,148.0,-33.0,81.0
66,49.0,-109.0,61.0,-9.0,-64.0,75.0,-18.0,73.0,-26.0,2.0
67,75.0,-140.0,81.0,111.0,-19.0,96.0,73.0,59.0,-51.0,-8.0
68,114.0,-57.0,115.0,103.0,46.0,102.0,1.0,50.0,-21.0,-21.0
69,-82.0,2.0,24.0,30.0,-65.0,58.0,-36.0,34.0,48.0,-42.0
70,-88.0,9.0,33.0,68.0,-42.0,94.0,79.0,19.0,67.0,47.0
71,-105.0,-20.0,-14.0,1.0,-46.0,24.0,21.0,-1.0,17.0,-12.0
72,-68.0,-62.0,-83.0,-54.0,-16.0,22.0,82.0,15.0,26.0,-59.0
73,-30.0,-99.0,-44.0,-84.0,11.0,100.0,53.0,38.0,13.0,-52.0
74,-148.0,-133.0,-85.0,-172.0,-85.0,15.0,-35.0,16.0,-67.0,-81.0
75,-96.0,-85.0,-221.0,-175.0,-70.0,11.0,-26.0,-14.0,-137.0,-101.0
76,-136.0,-88.0,-161.0,-67.0,-64.0,-28.0,-134.0,-63.0,-106.0,-100.0
77,-99.0,-166.0,-22.0,-26.0,-119.0,-146.0,-48.0,-35.0,-114.0,-145.0
78,-8.0,-163.0,-24.0,-132.0,-62.0,-173.0,8.0,0.0,-173.0,-79.0
79,-65.0,-227.0,-50.0,-115.0,6.0,-86.0,-93.0,-55.0,-130.0,46.0
80,-70.0,-86.0,-146.0,-28.0,-44.0,-77.0,-59.0,-8.0,-82.0,-31.0
81,24.0,57.0,-146.0,-8.0,-24.0,-53.0,-88.0,104.0,0.0,-6.0
82,3.0,-88.0,-110.0,-35.0,-113.0,17.0,-68.0,79.0,35.0,45.0
83,-70.0,-104.0,-59.0,-35.0,-131.0,54.0,34.0,77.0,-20.0,33.0
84,-75.0,-107.0,-23.0,-71.0,-17.0,43.0,-30.0,74.0,-111.0,-35.0
85,-109.0,-155.0,-74.0,-134.0,-17.0,-54.0,-51.0,-4.0,-131.0,-137.0
86,-65.0,8.0,-54.0,-34.0,4.0,-22.0,-17.0,83.0,-72.0,-57.0
87,0.0,100.0,-15.0,39.0,32.0,19.0,-65.0,101.0,-30.0,21.0
88,10.0,-19.0,-3.0,-27.0,16.0,-54.0,-53.0,-29.0,-30.0,-12.0
89,-29.0,-70.0,-77.0,-66.0,19.0,-102.0,42.0,-139.0,-57.0,-59.0
90,-7.0,-80.0,-96.0,-40.0,42.0,-29.0,129.0,-22.0,-26.0,-49.0
91,10.0,-83.0,-31.0,-25.0,10.0,17.0,56.0,-13.0,-106.0,-21.0
92,-21.0,-65.0,-40.0,-16.0,-55.0,-109.0,-19.0,-90.0,-203.0,-53.0
93,37.0,-85.0,-74.0,44.0,-81.0,-125.0,-29.0,-9.0,-122.0,-50.0
94,-16.0,-52.0,-76.0,97.0,-92.0,2.0,-24.0,10.0,-64.0,-92.0
95,-62.0,-6.0,-56.0,127.0,-44.0,34.0,123.0,50.0,-31.0,-106.0
96,52.0,75.0,-52.0,100.0,40.0,-14.0,102.0,38.0,0.0,67.0
97,-30.0,4.0,-90.0,9.0,-6.0,-57.0,-23.0,20.0,-44.0,88.0
98,-123.0,-125.0,-43.0,10.0,19.0,-40.0,-117.0,40.0,-80.0,21.0
99,-62.0,-17.0,21.0,9.0,52.0,12.0,-94.0,17.0,-22.0,42.0
100,-70.0,51.0,-38.0,-79.0,-35.0,42.0,-19.0,-81.0,8.0,7.0
101,-39.0,7.0,-71.0,-41.0,-38.0,9.0,-61.0,-97.0,-72.0,-4.0
102,0.0,-49.0,-24.0,-79.0,-26.0,-9.0,-53.0,-57.0,-95.0,4.0
103,3.0,-95.0,-24.0,-101.0,37.0,68.0,30.0,-53.0,-15.0,16.0
104,-77.0,-90.0,-108.0,-99.0,41.0,27.0,31.0,-90.0,-7.0,-22.0
105,-28.0,36.0,15.0,-67.0,38.0,67.0,29.0,-58.0,20.0,20.0
106,14.0,64.0,108.0,18.0,56.0,155.0,134.0,-29.0,-24.0,-4.0
107,-66.0,-42.0,-26.0,28.0,49.0,81.0,58.0,-87.0,-71.0,-58.0
108,-122.0,-113.0,-103.0,-83.0,-13.0,60.0,-39.0,-144.0,-58.0,-40.0
109,-119.0,-92.0,-75.0,-225.0,-29.0,90.0,-92.0,-102.0,-56.0,-26.0
110,-35.0,1.0,-23.0,-125.0,38.0,58.0,23.0,-15.0,-7.0,17.0
111,-65.0,18.0,8.0,-4.0,-24.0,31.0,149.0,9.0,-6.0,18.0
112,-10.0,-45.0,-14.0,-27.0,-31.0,43.0,66.0,-11.0,-39.0,-1.0
113,26.0,-44.0,-23.0,-57.0,4.0,30.0,34.0,-65.0,-73.0,1.0
114,-29.0,18.0,31.0,-2.0,75.0,33.0,8.0,-61.0,-38.0,67.0
115,-64.0,-2.0,-17.0,-7.0,125.0,69.0,46.0,26.0,-44.0,107.0
116,-30.0,-56.0,-80.0,23.0,71.0,-29.0,78.0,15.0,-102.0,75.0
117,-47.0,-102.0,-5.0,44.0,41.0,-101.0,15.0,12.0,-16.0,30.0
118,-115.0,-184.0,-3.0,-8.0,-10.0,-30.0,-40.0,72.0,22.0,-37.0
119,10.0,-52.0,49.0,44.0,74.0,55.0,93.0,90.0,26.0,-18.0
120,46.0,12.0,142.0,92.0,116.0,106.0,104.0,60.0,14.0,73.0
121,-35.0,-81.0,0.0,15.0,24.0,80.0,92.0,4.0,-58.0,60.0
122,-42.0,3.0,-42.0,46.0,75.0,11.0,142.0,68.0,30.0,90.0
123,-51.0,-85.0,-12.0,-13.0,70.0,-87.0,15.0,-2.0,-14.0,17.0
124,-38.0,-112.0,-66.0,-137.0,-2.0,-5.0,16.0,-2.0,-110.0,-2.0
125,-37.0,-20.0,-101.0,-107.0,-99.0,21.0,23.0,22.0,-81.0,-10.0
126,-3.0,-20.0,-82.0,-61.0,-136.0,-84.0,11.0,-45.0,-57.0,-57.0
127,-3.0,-69.0,-36.0,-49.0,-110.0,5.0,63.0,40.0,-19.0,-42.0
128,-5.0,-67.0,-30.0,-67.0,-28.0,92.0,63.0,60.0,-25.0,-102.0
129,37.0,-5.0,-20.0,-75.0,56.0,22.0,77.0,31.0,-14.0,-39.0
130,24.0,-54.0,-9.0,-131.0,41.0,8.0,67.0,70.0,-2.0,33.0
131,-5.0,2.0,68.0,-156.0,44.0,39.0,63.0,147.0,-1.0,19.0
